Product_Type,SKU_ID,Price,Availability,Units_Sold,Revenue,Customer_Segment,Stock_Levels,Shipping_Lead_Time,Order_Quantity,Shipping_Time,Carrier,Shipping_Cost,Supplier_ID,Supplier_Lead_Time,Production_Volume,Mfg_Lead_Time,Mfg_Cost,Inspection_Result,Defect_Rate,Transport_Mode,Route,Logistics_Cost,Gross_Margin_Pct,Revenue_Per_Unit,Daily_Demand,Stock_Cover_Days,Demand_Stock_Ratio,Total_Lead_Time,Cost_Per_Unit,Reorder_Point,Reorder_Gap,Carrying_Cost_Ratio,Supply_Efficiency,Shipping_Cost_Ratio,Future_Sales,Delay_Flag,Inventory_Risk_Class,Cash_Stress_Score
cosmetics,SKU62,82.00096861723068,93.83062916944428,254.47196703233612,3963.412135774027,Unknown,81.15229190878793,1.872534669703345,39.551366464929345,7.707706250664997,Carrier C,7.7265463993251675,Supplier 2,12.976519289242853,797.9336665837277,14.300852955665727,19.078669899324346,Pass,1.8522423558732861,Sea,Route C,318.9686756419112,75.42188528416534,13.789432007144265,8.342881505524245,9.465384312842026,2.942779821128392,26.301220085699345,1.1763390868557524,286.9295142030049,0.0,0.10252052634104057,19.581474886301248,0.0016307780308964606,264,1,Low,1.0
haircare,SKU95,73.90294566226655,64.07100898103259,572.7443495773399,6868.791544173275,Unknown,14.770284036920941,13.497149029135452,26.017992368802553,8.005803579880594,Carrier B,8.312547456612059,Supplier 4,18.218750041046274,450.36725297129533,26.929538641507598,60.72135862060005,Pending,1.171445445321543,Air,Route A,786.3487455959521,22.847773484679532,10.754372025380166,20.508333490266125,0.7596637682074704,41.081059150216745,47.745080930722786,1.1858320761178027,1102.8975116331244,0.0,0.017994739094398762,16.563556875708873,0.0012071068178247588,558,1,High,4.31
haircare,SKU51,25.522814590309217,61.11762374520946,156.93090568604237,9409.596159057075,Male,91.36563250656276,4.412150559866622,54.51314130489653,0.9561873515702892,Carrier A,4.867050220631198,Supplier 5,15.870846718550895,566.5544987646665,30.428458115950274,14.450920828744437,Pending,1.7661852401488276,Road,Route A,707.9177290516419,58.94154145763104,68.52249574393323,4.703700409015849,16.792055839739653,1.6536533631298487,49.15043274356643,4.690285798535695,269.27126712807797,0.0,0.32503567334268035,13.371280351095534,0.0005393062762908937,131,0,Low,2.37
haircare,SKU95,74.51683423947901,70.8854128383202,678.1744650004913,7677.016308962649,Unknown,13.428439963571035,14.260080246669489,24.59478447417749,9.341736086890204,Carrier B,9.643307750876465,Supplier 4,18.41690910141555,417.5692233684054,27.303049470897378,60.78361495047311,Pending,1.4103000549169584,Air,Route A,794.688766432734,23.266684437137638,11.669671068184401,22.171200894428374,0.7044940554238593,38.88032053793815,43.569029458931986,1.1598512827997147,1174.8120097520261,0.0,0.01728968578422684,15.435678818279774,0.0010887365183496964,765,0,High,3.99
skincare,SKU3,64.63515135185457,71.36056096879483,74.31750624828246,6630.048043491,Non-binary,21.143914636470313,12.866569045747873,64.44852999289319,5.92668260744999,Carrier C,1.6231155488318358,Supplier 5,24.28528555983948,928.4533520008914,16.011349477267686,31.7058406227239,Fail,4.234695035545646,Rail,Route A,305.32072317911764,44.62233801051387,89.13139408851958,3.0123259439014123,7.922810624992787,3.755437905018813,42.269829695753366,2.873136332749184,151.8315303839497,0.0,0.16654243347437944,15.8862458544853,0.00020328023636593487,50,1,Medium,2.92
haircare,SKU93,73.7285145363564,106.19000021567639,125.38898213301198,4611.026177528835,Unknown,61.43454114890615,16.72700051151729,59.36763732445682,1.0531634834042574,Carrier C,6.437553108264707,Supplier 4,20.37427675575724,868.1893864952998,19.62027951392556,34.23029081475798,Fail,3.7667063360200683,Air,Route A,902.933070379312,45.33243311959629,37.885961740371684,3.255314256370506,16.47378341689357,1.733512144591205,41.5964939676564,6.488077004904545,202.21828252521686,0.0,0.28210425236040004,12.4126312315467,0.0015069328808047303,130,1,Low,2.47
haircare,SKU22,28.029110507901464,58.470155410747815,977.6826924156942,2361.045573827443,Unknown,65.50265383240699,1.0448573825834204,61.58759350088928,11.011695769297745,Carrier A,9.106896502648706,Supplier 4,20.489900836006306,788.9727300594471,24.101464147629137,48.24660604555496,Fail,2.522898849512308,Rail,Route C,209.19783062741413,0.0,2.5146760978012153,32.19426205790006,2.397415400719555,13.127281227516844,47.83285039446615,0.23098939013746855,1803.4295631298237,0.0,0.14286866532824533,12.025881177866882,0.004351408968875756,928,1,Medium,6.59
skincare,SKU14,96.15801623968704,26.592028718679327,607.4527259205997,8254.923848135568,Non-binary,55.47079776880939,33.049677647536434,83.74902462475008,5.113973227873925,Carrier B,2.00316507547058,Supplier 1,23.791363437450325,513.8873803867535,15.69077883516156,6.400914005677377,Pending,0.09539003881281369,Air,Route B,954.3385440069018,94.99860024794835,16.857010341877444,19.306681187822335,2.8947060475105593,9.77520452125942,40.06350767679258,1.6050120460272572,896.5538749327513,0.0,0.005433123637818174,6.5133625532670765,0.00020822712404395684,573,0,Medium,1.46
skincare,SKU42,46.68762861847128,112.01337950685678,142.19892400411766,1931.6337817290005,Female,21.85454221627311,31.53547814038536,59.503311941800284,4.103900346123227,Carrier C,7.478018661475625,Supplier 5,24.537508206295513,183.45914479061813,6.225910538883413,86.11495815980041,Fail,5.339310640901997,Road,Route A,546.048580006647,0.0,10.871917344139094,5.000634714593809,4.26200722158602,7.269793448464605,36.214552676894385,3.775421250554224,201.2091164196005,0.0,0.28821765446931275,2.8681997986845307,0.0038652173498208084,144,1,Medium,6.84
cosmetics,SKU28,2.350453069917543,11.62297213172308,386.6126537168977,6106.838760321755,Female,47.89091380879425,13.853416203274568,24.70911556061977,4.038735023961819,Carrier B,10.291359319976012,Supplier 1,11.216967784125838,173.14562925369944,5.888066063094871,58.59465623287604,Fail,0.8586943743787816,Air,Route A,133.7640571044379,0.0,16.364889324492715,12.818853426637684,3.5492863401022112,9.773197470788263,21.323456498984335,0.2827223230674238,275.59260360875544,0.0,3.3046693826826594,6.866670065084541,0.0013153254627377554,255,0,Medium,69.76
cosmetics,SKU35,83.75279026824568,10.997886635781274,362.2292277295999,6553.9756455670085,Female,38.59508349449315,23.035219752697238,95.91065154512472,7.323134591497646,Carrier C,5.005891713628346,Supplier 1,2.836660107343997,367.0657297271375,2.28260969712894,52.454021870843405,Pass,0.5278718597291213,Sea,Route C,558.7714662739211,29.524659029010312,14.192669437735542,15.67883028860965,2.6307220829777456,10.159111593907157,4.827458429232286,1.2197854225763811,95.82850089396678,0.0,0.07380477759163147,3.3595024852222464,0.0007892869542908518,270,1,Medium,1.21
haircare,SKU12,63.44009972487686,39.735986397865034,359.6777138490568,3149.113127190648,Unknown,109.95771661454728,32.96470203564101,83.8172415129811,4.447529687906292,Carrier A,1.4945750926612889,Supplier 4,3.0333121090899624,616.022736534603,3.009896884443979,35.967728514431755,Fail,2.133302125348389,Road,Route B,383.3193706398849,49.71698143942936,8.434196070297471,11.275611822118158,8.226552905100322,3.2604311325537156,5.747256331478032,1.0929549797270968,92.04401569856437,16.45428432372694,0.14624772438698327,6.502922563104083,0.0004991046877843251,278,0,Low,0.94
skincare,SKU31,46.52262557160722,28.928777685340595,170.27985013113476,11851.830809797993,Male,6.521809133767556,17.428733100136363,43.853535225303496,4.320418091864712,Carrier B,2.4833514314499876,Supplier 3,26.188104599066943,420.9061477112484,7.640624731382572,51.390951999935496,Pending,3.135837913437507,Rail,Route C,621.5633307572402,0.0,53.199117163506294,6.21766755756163,1.0882428534909212,22.526792880920496,36.920148386862145,3.4164504890859986,240.03966045758662,0.0,0.0410988619569796,10.655637705025374,0.0002986119132095034,110,0,High,4.15
haircare,SKU70,48.848925303214386,86.12038910862717,27.90964185113704,7837.356321044099,Female,9.617737298100744,12.277451957311046,23.235445185272894,4.098802625379646,Carrier B,5.957696758972183,Supplier 1,24.04118633303512,806.848108851542,16.254430272441894,11.60148801811273,Pass,2.076936270441124,Road,Route C,172.56884921355564,78.64874189242823,209.9443188799094,0.9017169363708174,7.839725513502017,2.6728738228154194,35.99833277532262,6.51948503263602,55.96116696145781,0.0,0.07079791547469787,33.861318424330186,0.0010660430149017274,23,0,Low,1.94
skincare,SKU58,54.027749396247295,83.9564274069402,1011.4976805721278,2177.335065056992,Non-binary,11.441231691140189,5.085146102610851,46.12415464865858,7.061473656602609,Carrier A,5.149150106917917,Supplier 3,16.68210276628307,421.1015975953359,7.164779055149552,65.37348147919779,Fail,1.9721276751431929,Road,Route B,108.0212085791793,0.0,2.4919376412045637,31.911203530753124,0.2768376079023221,83.79489781680692,28.916948602263,0.10510543321868283,887.4735757311298,0.0,0.011988369659405565,9.370161023149608,0.002670564677491031,1128,1,High,3.74
cosmetics,SKU85,78.3914662771355,86.37969705848079,25.183741867160403,8891.519367388413,Female,17.523122921875522,17.90791417053987,64.13534667964733,2.166680676643162,Carrier C,7.692896022970401,Supplier 5,3.803289133675123,200.73113143807973,1.9590600764067136,68.74222794285025,Fail,1.4512980197254803,Road,Route B,819.6065387141339,9.68069568870477,371.401273132117,0.7894500136764462,19.000013370626593,1.6786399736304676,5.154750510417188,33.17196089308786,9.59487351335927,5.521225992132976,0.5223801031715549,2.811557403514136,0.0008978531891998444,32,0,Low,1.72
cosmetics,SKU27,85.9156496772633,44.85460648884731,329.22947203148885,2682.694797425499,Unknown,52.812247206137265,9.790940607994179,64.37008244831318,7.918350263966544,Carrier C,7.633632448353355,Supplier 5,26.377967905450106,268.0318969843434,4.272427918055628,9.600332671839796,Fail,2.995858609640472,Sea,Route B,694.9424819485716,102.54701048399501,8.098065862521558,10.272452432320353,3.999703479606351,7.02711297205819,27.515833522907233,2.185419489373743,382.3390865109528,0.0,0.0160568593697912,4.748858482836562,0.0027956309856068465,254,1,Medium,1.52
skincare,SKU65,35.47646680724678,76.55838051500919,473.63179245527584,7477.767201259188,Male,53.40495932075733,23.485323030735145,47.62458332128931,8.143362005332179,Carrier C,7.323355596594473,Supplier 5,17.602163669452278,379.18289276429965,22.222556048904213,1.880288375421328,Fail,5.2426396550542425,Rail,Route C,597.020945526523,84.29431889740303,20.230220830370154,15.718624810976372,3.6763838337519275,7.6724831376373075,35.376157507459034,1.3360581704264103,679.4550055340583,0.0,0.005535829908167386,6.597834204252699,0.000776984978930062,432,1,Medium,1.21
skincare,SKU41,94.45294061744349,31.129963286028683,598.6722153507601,5460.240872268636,Female,58.443578076037014,18.587721065174016,39.669361450135476,8.01845815782612,Carrier B,5.861476326109864,Supplier 4,18.061269491506046,800.8835717931645,7.5311647842275775,82.30401389063465,Fail,0.046974954479014924,Sea,Route A,289.09275441384926,3.752815764125082,10.210758852911134,18.12210786788568,3.6023386568655122,9.233476754980856,23.415747147229325,0.5216890084145112,635.8194305069875,0.0,0.10624450898852399,27.01317291964515,0.0010070964991235807,576,1,Medium,2.93
cosmetics,SKU44,52.307023019496945,34.68645784993141,951.9269118450992,6958.38760584847,Female,13.197590495132337,20.447319290023888,69.8492101176878,5.798402890979187,Carrier C,7.400389224691491,Supplier 2,6.385247221928857,788.4409511052634,16.95804490995826,22.553163816526048,Fail,3.1608012906411127,Rail,Route A,681.4472315017578,56.33657101216958,8.067216326029572,31.229470596509636,0.33300995343338696,59.61491974982048,26.52252858232948,0.709602732332368,984.7012965748587,0.0,0.0052105621075419165,10.484928163089238,0.0010229553095830498,660,1,High,1.92
haircare,SKU61,54.64587335517975,22.342437182593464,132.82214875610072,7694.033743707539,Unknown,36.28466802232541,21.31361609169647,37.413766690967726,6.732586510194793,Carrier C,9.26720395320977,Supplier 4,13.097712608126765,527.0844045139759,11.24454571180427,66.44220413917968,Fail,5.078068761719042,Air,Route A,170.18505968180472,0.0,58.0870146085653,3.720020586448332,8.203766389103711,3.772668645065443,27.34322051323955,1.421275562045469,126.05295138215985,0.0,0.3499750348059222,12.195727693626589,0.0011982190653413586,84,1,Medium,3.39
skincare,SKU56,22.67580316320443,84.678533167115,83.43249188135907,4976.512937540442,Non-binary,23.18250483818055,22.35466327218462,98.81079550185449,5.31485542160139,Carrier C,1.7444715760979423,Supplier 1,23.767433998187165,885.9667796975149,29.484829763434373,12.913917897644946,Pass,1.1834798194918927,Air,Route B,733.6871366526082,33.588799218825805,50.53291550307214,2.942945274034156,8.375090581977833,3.633424955487418,48.785258523063376,8.9685836769537,191.37519267681003,0.0,0.16937676877756913,8.605364119720418,0.0004582564832070267,93,0,Low,3.84
haircare,SKU5,1.6138689642714956,80.21583054417003,172.2097550339118,2906.6004801668323,Non-binary,95.0455152518795,28.583409850283843,64.9123742982644,2.8626227351552833,Carrier B,4.298596417123986,Supplier 4,11.287093023395228,105.69551244268064,18.785564454013947,56.41931392172769,Fail,2.611244940619068,Road,Route A,208.29435076935,0.0,21.84755576229171,4.552698580767372,19.051577440486064,1.4372704495340471,25.799695177546315,1.6251029940424724,140.46304512285795,0.0,18.99988815438832,1.6270869054676642,0.0015788287178043483,188,1,Low,97.41
cosmetics,SKU27,99.51352051529082,41.060549756537426,313.635392721601,2366.88485150646,Unknown,39.82212426662203,9.455729639479193,74.6863453595742,8.278552407798484,Carrier C,8.397505739937518,Supplier 5,27.26714658157804,278.9331376901313,4.404901113917,10.125160939117016,Fail,2.759544183415327,Sea,Route B,749.735731416695,87.48704154249171,8.035805739442935,11.103278874223456,4.284512889146552,7.846159868869582,29.795675395271203,2.4951649378073664,455.5354531116705,0.0,0.015280442503444593,4.748984623245149,0.0029173328493316566,262,1,Medium,2.14
cosmetics,SKU27,92.65540773938172,40.738086613363535,284.2551291606031,2840.716909030088,Unknown,50.91584153548141,8.163994423567079,65.00163650261364,7.621422925876785,Carrier C,7.189567723310455,Supplier 5,27.621521054726706,267.93803139581775,3.6825127076181694,12.048384151028818,Fail,2.831310110452517,Sea,Route B,838.4943928384615,77.29455722848812,6.704801587718609,10.876073759897471,3.8459325515095397,6.509775950939418,29.8567678253176,2.235097872343892,383.32535931621476,0.0,0.0143648737764365,4.1885513995930435,0.0021513950752049464,184,1,Medium,1.92
haircare,SKU43,11.663379662149225,5.793389907503531,582.3015027834967,5273.013805301861,Unknown,38.33423279755277,34.62690848744763,79.32822297905614,10.00778122006009,Carrier B,3.8023742447182682,Supplier 5,1.0028335913425948,200.32885730144454,22.846880958769454,28.694023177680638,Pending,0.3384077305357233,Air,Route A,700.2907635405212,0.0,10.349020701576608,18.142879558312384,1.7737067695995294,17.103285026935485,25.273781989096506,1.2882228602308583,596.8001223399093,0.0,0.13839397424268704,2.6976768576543435,0.0005797530633873015,544,1,Medium,7.65
haircare,SKU83,69.17691925920161,75.34180445999583,598.7143654886939,2474.451898431522,Unknown,61.23423141710237,23.889243642437076,7.9059396138935565,8.998360129518606,Carrier B,5.830532767500044,Supplier 1,22.620244013438594,528.1629647168777,5.174611867125024,90.67037478005632,Fail,0.7111413666522414,Road,Route A,759.2632851656605,0.0,3.674709316371824,21.12924231649766,2.8004316460013663,10.353388965264736,22.889553019751926,1.0501676385053225,748.7521256280213,0.0,0.12186061191578251,58.367952129458544,0.0023291466027750246,681,1,Medium,5.26
cosmetics,SKU29,60.960959346012075,2.5204222523893107,281.9821452805608,7779.129395952818,Female,43.699513165460594,5.12761794892791,63.42791712655834,6.509367352791971,Carrier B,7.545051839470783,Supplier 1,18.378148557987434,359.52102964735343,7.321729710745622,32.41997568878341,Pass,4.0574817664572125,Road,Route B,797.0137186197396,34.17731770825206,33.56153183190025,9.142378897675961,5.54141114948376,5.200725463251901,23.024406943274514,3.1879868061422405,238.12721056876663,0.0,0.11358516315264768,5.129411188373002,0.0010657120517593409,151,1,Medium,1.75
haircare,SKU61,47.5888964955772,23.091974305056286,113.88916212786249,7460.588940161797,Unknown,33.185876599562306,22.653689069725715,32.30826795808513,6.105731334012496,Carrier C,9.254540382979561,Supplier 4,13.196721801498525,505.5792563749338,10.422585345526823,88.7319197908496,Fail,4.599423086536962,Air,Route A,165.670744954871,0.0,63.31622750774784,3.751798989551482,8.250890059214584,2.987931808572538,28.21351584594161,1.3600191450046024,106.06957355999107,0.0,0.4425237051554817,14.647869009773121,0.0013021242539674811,62,1,Medium,5.16
haircare,SKU74,2.9209622965401154,56.725761588843,1006.3049291839649,5915.260210148041,Female,39.91714204428523,5.72722954268374,1.0537463710186903,5.257727397628544,Carrier A,4.8619746882543495,Supplier 4,0.9086102007279246,838.7233138111438,8.662878302058463,76.13417218406218,Fail,0.4479531947648768,Rail,Route A,327.78724798573364,0.0,5.712949613062287,29.68951069966509,1.1959220982263696,21.420476940386063,8.931032399614748,0.41194368866092973,369.41294558580415,0.0,1.1314599065698963,344.37709666325344,0.0010049530464256466,911,1,High,72.75
cosmetics,SKU91,64.60600017475292,94.72973672851685,842.5306745435561,1928.573205645447,Male,99.46185326106358,21.581435713013267,73.20633278827637,8.550467547025072,Carrier B,7.971106878208169,Supplier 4,5.1682336188081575,228.7579458839915,29.442990552727004,37.61813765596741,Pending,0.6885911645095489,Rail,Route B,1064.7359497514856,34.13039113209707,2.246544079526904,29.94537401660542,3.2533704191484447,9.696885261627846,36.612833931445095,1.0308241891333514,1249.445126984948,0.0,0.06753525972177231,2.4448489731138316,0.004528439908037132,954,1,Medium,4.32
cosmetics,SKU88,79.10906207584223,51.16073150469242,690.0986376289786,9965.773856346488,Male,62.030423557874286,18.2341150081039,99.69632444553197,6.654207192551299,Carrier A,3.7786238705747177,Supplier 2,17.701974848143763,1041.488709922186,10.29700997506493,73.95138185807416,Pending,0.7772092300148673,Sea,Route A,123.44501444554375,9.898774654012696,12.449939992747023,25.458532420659882,2.2542234532169108,12.390487461173013,31.485689585811528,0.14020658228770128,879.8678855555736,0.0,0.07855966023144506,9.616449233459408,0.00037796503509551565,613,1,Medium,3.28
haircare,SKU61,52.728212634273866,18.680937380167315,133.2888750995529,6493.875986736756,Unknown,29.598495951978425,22.618490211687508,36.39563377573889,6.576375177146691,Carrier C,9.73861795522376,Supplier 4,14.447671324174168,447.8499112855543,11.498491087754523,69.15252147244948,Fail,3.929556183358976,Air,Route A,169.4631835683165,0.0,67.34571554771138,3.922128038496452,7.312547833131778,3.220746709671239,28.19017696493737,1.3844733241252447,135.99930785170096,0.0,0.39515855866650385,14.134807259554327,0.0012107079527890264,85,1,Medium,3.84
cosmetics,SKU96,25.378670090051788,28.508662023868826,346.77651087470014,8818.381738876193,Non-binary,64.89792761804259,1.9124572577925671,33.70446947593563,2.7403191371512636,Carrier C,6.045097440653175,Supplier 3,31.2390905121265,596.2056379059233,24.45380040452853,16.15074570473265,Pending,3.517253612774632,Road,Route A,200.8482215974747,30.458601244609746,25.262935115042872,10.595929924843382,6.369879239587565,4.43344061389472,60.91549204412776,0.601080705130388,775.1547504697614,0.0,0.1486673923151116,20.77500289413367,0.0007808367223733223,224,0,Medium,3.69
haircare,SKU0,66.411987031896,58.43398839155161,756.3134735294842,10129.126845920156,Non-binary,56.07521335361547,7.360362897469182,97.27188184499431,4.833696998835358,Carrier B,3.0109497945584613,Supplier 3,27.805070026662904,225.9995120169447,30.431998810918866,45.69686433820565,Pending,0.2065810541006397,Road,Route B,179.82144489391217,36.0765211641987,9.290204110453857,26.20251911773774,2.375096050239754,13.491328471610588,68.08601504752473,0.20134014750160925,1721.5639139572204,0.0,0.055539822251767984,2.0484726779147513,0.00025231388851852,832,0,Medium,4.04
haircare,SKU26,92.67657311651098,7.997177442104302,335.92087469777545,3728.751584771498,Male,62.79922761110232,15.776423756658,48.09711628544515,3.8138895286175583,Carrier B,5.720552643940517,Supplier 2,22.159196294630927,166.01383452499857,4.027084729133828,15.411777604552745,Pass,1.8125563442321049,Rail,Route A,627.8219928265398,94.50809450077038,10.43144012046037,11.221453095492977,4.975802383902592,5.363234669954814,27.194642089689243,1.8080174066980115,461.90860915406705,0.0,0.02307350701562624,3.588655020288782,0.0020977030325285925,211,0,Low,1.64
haircare,SKU61,51.013572579461,22.6727637732577,108.83215015813354,7150.741827848747,Unknown,30.282282330893793,24.879563491710215,34.10616802612275,7.191403222146619,Carrier C,8.996860077038503,Supplier 4,15.741725013626418,495.72400843000503,13.331527026359925,79.38630833307437,Fail,4.307814279630619,Air,Route A,163.86434550746304,0.0,61.35413916718053,3.6846081976693124,8.273775755235707,3.787535277689165,29.293781732336033,1.4111491277459145,134.6809671251456,0.0,0.40104484780218896,15.16056273713959,0.0012400708109005897,78,1,Medium,4.74
haircare,SKU76,69.61188189770739,25.675580346253106,268.5599549211613,5334.480341496053,Male,41.01086691343551,0.9820822130845156,21.13992515307366,9.029768741505249,Carrier A,7.463070244364556,Supplier 2,26.658441862536915,940.2503235102139,24.514752065251653,77.96528686721817,Pending,2.3800222803279927,Rail,Route A,925.4812733806135,7.474464878077011,20.5227026302663,6.172416904069705,4.692325034131936,6.951721745506005,54.47799600491282,4.246397069359993,456.327605590384,0.0,0.14354113624123116,41.066174506857784,0.0014104482290397792,225,1,Medium,4.84
haircare,SKU2,10.843318618917873,37.06608343361493,7.621000984343159,11155.007269881427,Unknown,0.8687492447771905,9.234584534636346,86.90621115130013,1.68255297548991,Carrier B,6.397842896210372,Supplier 1,10.103608687765815,948.3105101430409,26.423906378650315,31.50554691012762,Pending,4.508401936527538,Air,Route C,145.3208786546061,0.0,1265.6822805075592,0.2796944616677865,3.5059125254810346,4.170563659095165,38.405184679840154,13.84855541121329,18.230115432280364,0.0,0.35916878318108164,11.192810566703738,0.0007945905722229042,5,0,Medium,10.0
skincare,SKU69,46.62694974391185,69.63713796477563,496.15590534784485,1841.3408657991222,Non-binary,94.13379666238205,0.978285173155009,27.416464930937494,3.006377348026043,Carrier B,9.497987462156305,Supplier 4,8.96017351779925,891.4503786964972,7.278778738984644,77.89702369732244,Pending,1.4300645563795895,Air,Route A,200.6181105888234,0.0,3.8365266669486946,18.071935322477348,4.730171938761001,5.581067190090006,15.56910453393657,0.37421244984382424,322.382728903904,0.0,0.2736631370927,34.76599945680572,0.005863452668350984,477,0,Low,4.66
cosmetics,SKU71,7.791864877710124,12.259954078875547,611.2124714602544,7563.195969152779,Female,83.47455935130793,1.9647119428834339,26.39419368867269,6.304169055347069,Carrier A,8.154184846342181,Supplier 2,1.9005841658872005,278.583569284325,9.561529679593665,26.458224035476636,Pending,1.9287042457760282,Road,Route A,395.8881568560954,0.0,12.769249237889234,20.189665004961988,3.870522270388359,8.187582309745865,12.201025307518007,0.6065034363486677,347.4217185531573,0.0,0.5765245185475678,10.347236373517156,0.0011246437189732766,497,0,Low,9.28
haircare,SKU26,99.43556358041424,7.578968033234439,372.2211324478353,3733.0204052788545,Male,61.556187286974435,16.23451270191211,45.85283498064817,4.286178293295871,Carrier B,6.610694105561238,Supplier 2,23.318076098630748,188.9005146988155,3.542246539396009,17.123417655134613,Pass,2.371422444838124,Rail,Route A,563.1834484815292,82.78887096086761,10.346119749175951,11.60605459335892,5.732095342093225,5.367781509650287,29.264239092290403,1.9548638208355167,416.9422321176676,0.0,0.02797652818243929,3.7149348392445987,0.0017434309002986451,263,0,Medium,1.27
cosmetics,SKU8,71.76518583089873,69.40992181297472,134.14767499897687,7252.700137617152,Female,5.236006967996691,10.609198384788069,13.581580743050324,7.405675594650244,Carrier C,3.4500868297238987,Supplier 4,12.08562711777063,686.9207325835451,8.147086819138769,12.601484396191807,Pending,2.717563563898978,Sea,Route B,467.7446617971877,70.91954413626539,56.248157062613565,5.4167402441279044,1.024166147901728,27.955987934530924,21.37618408758604,3.20576706314656,136.8177859281262,0.0,0.0050619149601446,51.028798472155565,0.0005342303507025634,140,1,High,1.02
haircare,SKU61,46.727069068276315,20.724292264306985,112.834334867595,6493.769112129617,Unknown,33.219811233703346,23.088411701488685,39.354930021993425,7.17766432613103,Carrier C,8.564680566489525,Supplier 4,11.881935674687181,486.8911097962436,10.358085014173174,74.56607797879394,Fail,4.1153009030073795,Air,Route A,157.6810562643624,0.0,55.436339706889704,4.257522228476962,8.949905407849155,3.979616936322149,26.021104773547048,1.4232246597244205,137.69896309035207,0.0,0.4403630810578657,14.324625447728947,0.001207548126092087,86,1,Medium,4.81
skincare,SKU36,10.89842989885765,39.5969877384203,1022.9253074961542,7933.59612559372,Female,16.38752248925387,24.9673352294353,25.702676938092864,3.0887377926336876,Carrier B,2.18739490943515,Supplier 2,19.143793735076336,692.7835256281992,22.984641675447303,37.91175810162261,Fail,3.7891263566760727,Air,Route C,340.90796120641477,0.0,6.6499387850954506,32.50970469572886,0.6380930305564606,52.345375429061484,41.65134310995274,0.3985730877589045,1775.8567942733473,0.0,0.07748347712733551,22.69536624666887,0.0002773270029774622,680,1,High,11.29
cosmetics,SKU96,25.22725406838777,32.01297796873525,391.3293617981334,7906.631380740643,Non-binary,70.46241079271272,1.9041092250729397,30.624315457992846,3.3081734991698255,Carrier C,5.23454612284867,Supplier 3,28.16340212807695,711.3990587394528,27.39827513497404,19.94080592077033,Pending,4.049551434448458,Road,Route A,195.6183672183194,25.694725929158,24.728787421470845,10.429304301043564,6.43282679267307,4.726184284932124,60.33130687800886,0.5795232758884068,849.010880933823,0.0,0.14425516666904456,20.17970322541035,0.0007603607791263385,269,0,Medium,4.05
cosmetics,SKU50,15.419414424085696,92.21416891525018,650.1714751031543,6071.9159039048,Female,28.32687542220225,24.884295132849616,73.74846180528843,9.139201059372166,Carrier A,6.2753650406277295,Supplier 2,19.488224425367132,325.489933136711,21.751552490085906,45.67825928553974,Fail,4.326665608692566,Rail,Route B,497.30308358714603,0.0,9.503982379935396,20.37409584683815,1.562738104559225,19.232574089049635,42.407492165623495,0.8328644200407315,998.3933515924459,0.0,0.16173742777423383,3.297328438176472,0.0011978264984305014,638,1,High,9.65
haircare,SKU43,11.75357073568394,5.944915967088784,624.1214015339226,5959.557843461349,Unknown,36.01877205593925,31.038390072596442,80.42775952361829,9.51289667517141,Carrier B,3.375264624794166,Supplier 5,1.0408519192852106,200.59664807422453,20.58760164524069,26.816877735446273,Pending,0.3712793961814952,Air,Route A,627.6713574019471,0.0,9.477134462575403,22.51348784597356,1.846226161181651,15.29791064705769,26.077189470120683,1.281730577868808,637.8995428924683,0.0,0.14424648343384636,2.5350803945420073,0.0005770797625240114,461,0,Medium,7.07
cosmetics,SKU23,3.7579283431261525,28.749275050096678,425.5624286406023,8588.35684823835,Unknown,83.02251517655857,4.533686026741422,27.721472192590603,6.994910066601282,Carrier A,3.040111539541309,Supplier 5,10.596378348885413,543.9832593799317,30.95384731114537,101.17591870386828,Pending,1.3904715038790043,Rail,Route A,220.333792844012,0.0,22.567153733885444,13.607661227204549,5.953788230831098,4.68429030367678,40.07102879122912,0.6123141604156904,635.0334228839197,0.0,5.2211787975452415,17.181225533418534,0.0002628282278889432,368,1,Low,76.48
haircare,SKU78,6.431514556818998,55.029338648587824,967.789393544541,1300.611432167476,Unknown,4.886365338820299,3.5763324010891506,47.081075472236826,4.351074524464121,Carrier B,7.7198857345202345,Supplier 5,23.9479835251413,911.265739716926,20.252287001863394,72.58105641630864,Pending,4.141202774940407,Sea,Route C,336.51126841482363,0.0,1.4817486891887015,27.98319905067667,0.1928349887618143,157.40331256576724,48.79733304119107,0.37973790342066865,1852.2172002099232,0.0,0.05564648916810917,18.071289033693997,0.007029701499554916,925,1,High,34.22
skincare,SKU58,48.36981410513981,79.57139169956508,939.1540425080061,1937.8115194258874,Non-binary,9.13133986216301,5.8456700871767495,44.39086133141759,7.077507043126273,Carrier A,4.421287603281675,Supplier 3,17.118200166053416,367.55640886149814,7.60422612887801,67.67342410358052,Fail,1.651391600651036,Road,Route B,115.3130741303574,0.0,2.298320884780767,30.415988641486038,0.31008641305151036,83.40765179362255,25.842099302329817,0.13535715377517804,947.1717632415396,0.0,0.012005181741886351,9.666040093949936,0.0024215851113500567,965,1,High,4.49
